link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability
https://nhadat.cafeland.vn/chuyen-nhuong-30000m2-khu-cong-nghiep-tien-hai-thai-binh-2268019.html,Chuyển nhượng 30.000m2 khu công nghiệp Tiền Hải – Thái Bình (Tin Hết Hạn),"Quốc lộ 39B, Đông Cơ, Tiền Hải, Thái Bình Lưu tin",~Thương lượng/m2,30000m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/ban-nha-cu-chi-12x14m-nha-da-hoan-cong-mt-duong-oto-tinh-lo-15-di-vao-50m-2265066.html,"Bán nhà Củ Chi, 12x14m, nhà đã hoàn công, MT đường ôtô, Tỉnh Lộ 15 đi vào 50m","An Nhơn Tây, Huyện Củ Chi, TP. Hồ Chí Minh Lưu tin","~19,5 triệu /m2",168.5m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/ban-gap-nha-gia-re-tan-phu-trung-cu-chi-quoc-lo-22-di-vao-500m-2265062.html,"bán gấp nhà giá rẻ Tân Phú Trung Củ Chi, Quốc Lộ 22 đi vào 500m","Tân Phú Trung, Huyện Củ Chi, TP. Hồ Chí Minh Lưu tin","~40,2 triệu /m2",41m2,Bán nhà riêng,,,1,6m,1,1 phòng,Giấy đỏ
https://nhadat.cafeland.vn/ban-can-ho-beverly-vinhomes-grand-park-ke-ben-vincom-tam-view-tuyet-dinh-2267316.html,Bán căn hộ Beverly-Vinhomes Grand Park kế bên Vincom tầm view tuyệt đỉnh,"Long Thạnh Mỹ, Quận 9, TP. Hồ Chí Minh Lưu tin","~80,6 triệu /m2",54m2,Bán căn hộ chung cư,Đông Bắc,,1,20m - 30m,1,1 phòng,Hợp đồng
https://nhadat.cafeland.vn/nha-moi-ngang-4m-3pn4wc-phong-ngu-tret-hem-xe-hoi-vao-nha-khu-dan-tri-cao-2268347.html,"Nhà mới, ngang 4m, 3pn4wc phòng ngủ trệt, hẻm xe hơi vào nhà, khu dân trí cao,","Nguyễn Văn Đậu, Phường 5, Bình Thạnh, TP. Hồ Chí Minh Lưu tin",~169 triệu/m2,44m2,Bán nhà riêng,,,4,,,3 phòng,
https://nhadat.cafeland.vn/ban-dat-gan-truong-tieu-hoc-nguyen-van-phu-cach-cho-duong-cay-duong-200m-2268307.html,"bán đất gần trường tiểu học Nguyễn Văn Phú, cách chợ đường Cây Dương 200m","Chợ Đồn Cây Dương, Đức Hoà Hạ, Đức Hòa, Long An Lưu tin","~10,5 triệu /m2",122m2,Bán đất thổ cư,,,,,,,
https://nhadat.cafeland.vn/can-ban-nha-vuon-dep-tphcm-2248m2-ngay-du-an-vin-vua-khoi-cong-chi-4trm2-2266804.html,CẦN BÁN NHÀ VƯỜN ĐẸP TPHCM – 2248m2 NGAY dự án VIN vừa khởi công chỉ 4tr/m2,"Tỉnh Lộ 7, Thái Mỹ, Huyện Củ Chi, TP. Hồ Chí Minh Lưu tin",~42 tỷ 259 triệu/m2,0.2248m2,Bán nhà riêng,,,3,5m,1,2 phòng,Sổ hồng
https://nhadat.cafeland.vn/ban-lo-dat-594m2-tang-day-tro-dong-tien-on-dinh-ngay-khu-nam-hung-vuong-2255288.html,BÁN LÔ ĐẤT 594M2 TẶNG DÃY TRỌ DÒNG TIỀN ỔN ĐỊNH NGAY KHU NAM HÙNG VƯƠNG,"An Lạc, Quận Bình Tân, TP. Hồ Chí Minh Lưu tin","~45,4 triệu /m2",594m2,Bán nhà riêng,,,,,,,
https://nhadat.cafeland.vn/gio-hang-45-can-gia-goc-cdt-cuoi-cung-mat-tien-nguyen-luong-bang-full-noi-that-2267298.html,"Giỏ hàng 45 căn giá gốc CĐT cuối cùng, mặt tiền Nguyễn Lương Bằng, full nội thất","Phú Mỹ, Quận 7, TP. Hồ Chí Minh Lưu tin","~56,1 triệu /m2",57m2,Bán căn hộ chung cư,,1 tầng,1,20m - 30m,1,2 phòng,Sổ hồng
https://nhadat.cafeland.vn/ban-lo-dat-nen-khu-cong-nghiep-400-trieu-300-m2-2268079.html,Bán lô đất nền khu công nghiệp 400 triệu 300 m2,"Long Bình, Phú Riềng, Bình Phước Lưu tin","~1,3 triệu /m2",300m2,Bán đất thổ cư,,,,,,,
