price_per_m2,area (m2),category,direction,floor_num,toilet_num,livingroom_num,bedroom_num,liability,district,city_province,street (m)
3.63E7,55.0,Bán căn hộ chung cư,Đông Nam,-1,-1,-1,-1,Sổ hồng,Quy Nhơn,Bình Định,-1.0
3.58E7,67.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
1.15E8,65.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Sơn Trà,TP. Đà Nẵng,-1.0
9.33E7,45.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Sơn Trà,TP. Đà Nẵng,-1.0
1.25E8,39.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bình Thạnh,TP. Hồ Chí Minh,-1.0
3.96E7,75.0,Bán căn hộ chung cư,Nam,1,2,1,3,Hợp đồng,Quận 7,TP. Hồ Chí Minh,12.5
1.35E8,100.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Thanh Khê,TP. Đà Nẵng,-1.0
1.81E8,25.3,Bán nhà riêng,Không xác định,4,3,1,3,Sổ hồng,Quận 10,TP. Hồ Chí Minh,-1.0
4.58E7,60.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
4.75E7,102.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
4.58E7,120.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Bến Lức,Long An,-1.0
1.25E8,78.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
1.54E7,194.0,Bán nhà phố dự án,Không xác định,-1,-1,-1,-1,Không xác định,Tam Đảo,Vĩnh Phúc,-1.0
8.0E7,80.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
2.88E7,85.0,Bán căn hộ chung cư,Đông Bắc,15,2,1,2,Sổ hồng,Huyện Bình Chánh,TP. Hồ Chí Minh,10.0
378000.0,1268.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Chơn Thành,Bình Phước,-1.0
4.58E7,60.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
1.19E8,33.5,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận 4,TP. Hồ Chí Minh,-1.0
4.58E7,60.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
1.03E7,125.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Đức Hòa,Long An,-1.0
1.13E8,220.0,Bán nhà phố dự án,Tây Nam,3,6,1,5,Sổ hồng,Quận 1,TP. Hồ Chí Minh,4.0
4.58E7,60.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
1.33E8,54.0,Bán nhà riêng,Không xác định,1,2,1,3,Sổ hồng,Quận 3,TP. Hồ Chí Minh,3.0
2.15E8,176.0,Bán biệt thự,Tây Bắc,5,6,3,7,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,12.5
2.42E8,35.0,Bán nhà riêng,Đông Bắc,3,2,1,4,Sổ hồng,Quận 3,TP. Hồ Chí Minh,3.0
5.61E7,89.0,Bán đất thổ cư,Đông,-1,-1,-1,-1,Sổ hồng,Quận 9,TP. Hồ Chí Minh,5.0
2.37E8,39.1,Bán nhà riêng,Không xác định,3,4,1,4,Sổ hồng,Quận 3,TP. Hồ Chí Minh,-1.0
4.58E7,60.0,Bán đất nền dự án,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
2.99E7,192.0,Bán căn hộ chung cư,Không xác định,1,3,1,4,Sổ hồng,Quận Tân Bình,TP. Hồ Chí Minh,-1.0
2.47E8,21.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 4,TP. Hồ Chí Minh,-1.0
2.18E7,192.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Thuận An,Bình Dương,-1.0
6.0E7,65.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 12,TP. Hồ Chí Minh,-1.0
1.39E8,53.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Bình Tân,TP. Hồ Chí Minh,-1.0
1.1E8,34.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 11,TP. Hồ Chí Minh,-1.0
1.85E8,87.1,Bán nhà riêng,Không xác định,5,-1,1,10,Sổ hồng,Quận 10,TP. Hồ Chí Minh,-1.0
3.05E7,85.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Thuận An,Bình Dương,-1.0
4.83E7,60.0,Bán căn hộ chung cư,Không xác định,-1,-1,-1,-1,Không xác định,Dĩ An,Bình Dương,-1.0
1.92E8,32.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận Phú Nhuận,TP. Hồ Chí Minh,-1.0
2.72E7,110.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận Thủ Đức,TP. Hồ Chí Minh,-1.0
112000.0,500.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 7,TP. Hồ Chí Minh,-1.0
1.04E8,86.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 2,TP. Hồ Chí Minh,-1.0
2.5E7,140.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Huyện Bình Chánh,TP. Hồ Chí Minh,-1.0
4.68E7,64.0,Bán nhà riêng,Không xác định,1,3,1,3,Giấy tờ hợp lệ,Huyện Bình Chánh,TP. Hồ Chí Minh,10.0
4.37E7,65.0,Bán căn hộ chung cư,Không xác định,-1,2,1,2,Sổ hồng,Dĩ An,Bình Dương,25.0
2.67E7,56.0,Bán căn hộ chung cư,Không xác định,30,2,1,2,Sổ hồng,Biên Hòa,Đồng Nai,40.0
692000.0,65.0,Bán căn hộ chung cư,Không xác định,-1,2,1,2,Sổ hồng,Dĩ An,Bình Dương,25.0
4.37E7,65.0,Bán căn hộ chung cư,Không xác định,-1,2,1,2,Sổ hồng,Dĩ An,Bình Dương,25.0
6.0E7,80.0,Bán căn hộ chung cư,Không xác định,-1,2,1,3,Hợp đồng,Huyện Nhà Bè,TP. Hồ Chí Minh,40.0
1.05E8,190.0,Bán biệt thự,Không xác định,4,4,1,3,Sổ hồng,Bến Lức,Long An,25.0
1.25E8,128.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Vũng Tàu,Bà Rịa - Vũng Tàu,-1.0
1.31E8,190.0,Bán biệt thự,Không xác định,4,4,1,4,Sổ hồng,Bến Lức,Long An,25.0
4.0E8,130.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
5.93E8,64.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Quận 1,TP. Hồ Chí Minh,-1.0
1.44E8,83.0,Bán đất thổ cư,Đông,-1,-1,-1,-1,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,10.0
4.26E7,197.0,Bán đất thổ cư,Bắc,-1,-1,-1,-1,Sổ hồng,Huyện Hóc Môn,TP. Hồ Chí Minh,10.0
277000.0,144.0,Bán đất thổ cư,Bắc,-1,-1,-1,-1,Sổ hồng,Huyện Hóc Môn,TP. Hồ Chí Minh,10.0
9.52E7,630.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Không xác định,Quận 12,TP. Hồ Chí Minh,-1.0
1.59E8,91.0,Bán đất thổ cư,Đông Nam,-1,-1,-1,-1,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,12.5
4.23E7,1773.0,Bán biệt thự,Nam,1,5,1,5,Sổ hồng,Quận 12,TP. Hồ Chí Minh,8.0
9.74E7,236.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Sổ hồng,Quận Gò Vấp,TP. Hồ Chí Minh,8.0
1.26E8,175.0,Bán biệt thự,Không xác định,-1,-1,-1,-1,Không xác định,Phủ Lý,Hà Nam,-1.0
1.48E8,135.0,Bán nhà hàng - Khách sạn,Không xác định,5,-1,1,18,Sổ hồng,Cát Hải,TP. Hải Phòng,-1.0
7.47E7,45.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Phủ Lý,Hà Nam,-1.0
1.85E8,135.0,Bán nhà hàng - Khách sạn,Không xác định,-1,-1,-1,-1,Không xác định,Cát Hải,TP. Hải Phòng,-1.0
1.03E8,60.0,Bán nhà riêng,Không xác định,-1,-1,-1,-1,Không xác định,Phủ Lý,Hà Nam,-1.0
2.96E7,1180.0,Bán đất thổ cư,Bắc,-1,-1,-1,-1,Sổ hồng,Quận Thủ Đức,TP. Hồ Chí Minh,12.5
1.92E7,6660.0,"Bán đất nông, lâm nghiệp",Tây,-1,-1,-1,-1,Sổ hồng,Quận 12,TP. Hồ Chí Minh,17.5
2.17E7,5524.0,Bán đất thổ cư,Không xác định,-1,-1,-1,-1,Sổ hồng,Huyện Hóc Môn,TP. Hồ Chí Minh,17.5
